OBJECTID,CREEK_NAME,MUNI,COUNTY,WATERSHED,SUBSHED,LABEL,SEGMENT_ID,REACH_ID,INF1,INF2,INF3,INF4,INF_ID,SOURCE,GNIS_NAME,GNIS_ID,MON_ID,RESTORATION_ID,ORDER_SHREVE,ORDER_STRAHLER,UREACHID,FACILITYID,EDITOR,EDIT_DATE,NOTES,RIVERMILE,Shape__Area,Shape__Length
91,Penllyn Creek,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSMSD05,WSMSD06,Bridged,,,,WSbri115,,,,WSPL046,,,,,,,, ,0,74.6796875,34.8144919383623
92,Penllyn Creek,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSMSD07,WSMSD06,Bridged,,,,WSbri120,,,,WSPL046,,,,,,,, ,0,27.1328125,21.2619308936932
93,"Rose Valley Creek, unnamed trib (A)",U. Dublin TWP,Montgomery,Wissahickon Creek,,,WSRVA01,WSRVA02,Culverted,,,,,,,,WSRV038,,,,,,,, ,0,119.5390625,61.7212155141816
94,"Rose Valley Creek, unnamed trib",U. Dublin TWP,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSRV038,,,,,,,, ,0,744.10546875,786.982770370272
95,"Rose Valley Creek, unnamed trib",U. Dublin TWP,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSRV038,,,,,,,, ,0,134.9765625,177.806505528079
96,Penllyn Creek,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSMSD07,WSMSD06,Culverted,,,,WScul236,,,,WS1436,,,,,,,, ,0,154.265625,86.88540795811
97,"Rose Valley Creek, unnamed trib",U. Dublin TWP,Montgomery,Wissahickon Creek,,,U,U,Impoundment,,,,,,,,WSRV038,,,,,,,, ,0,5967.0390625,317.509538186369
98,"Rose Valley Creek, unnamed trib (A)",U. Dublin TWP,Montgomery,Wissahickon Creek,,,WSRVA01,WSRVA02,Culverted,,,,WScul263,,,,WSRV038,,,,,,,, ,0,79.0234375,55.0270511764113
99,"Rose Valley Creek, unnamed trib",U. Dublin TWP,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSRV038,,,,,,,, ,0,488.9453125,464.580191840699
100,"Rose Valley Creek, unnamed trib",U. Dublin TWP,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSRV038,,,,,,,, ,0,563.87890625,404.324388029756
101,Penllyn Creek,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSMSD07,WSMSD08,Culverted,,,,WScul237,,,,WS1436,,,,,,,, ,0,122.125,66.3302696671018
102,"Rose Valley Creek, unnamed trib",U. Dublin TWP,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSRV038,,,,,,,, ,0,346.12890625,264.035100325277
103,"Rose Valley Creek, unnamed trib (A)",U. Dublin TWP,Montgomery,Wissahickon Creek,,,WSRVA01,WSRVA02,Culverted,,,,WScul265,,,,WSRV038,,,,,,,, ,0,55.10546875,64.8059284023499
104,"Rose Valley Creek, unnamed trib (A)",U. Dublin TWP,Montgomery,Wissahickon Creek,,,WSRVA03,WSRVA02,Culverted,,,,WScul268,,,,WSRV038,,,,,,,, ,0,247.61328125,100.78666736039
105,"Rose Valley Creek, unnamed trib",U. Dublin TWP,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSRV038,,,,,,,, ,0,374.63671875,392.150535178653
